Serial, 1_Thread_ReadWriteLock, 2_Thread_ReadWriteLock, 4_Thread_ReadWriteLock, 8_Thread_ReadWriteLock, 1_Thread_Mutex, 2_Thread_Mutex, 4_Thread_Mutex, 8_Thread_Mutex
0.010000, 0.009000, 0.005000, 0.006000,0.004000, 0.011000, 0.013000, 0.011000, 0.012000
0.013000, 0.014000, 0.011000, 0.008000,0.006000, 0.010000, 0.013000, 0.013000, 0.012000
0.009000, 0.008000, 0.006000, 0.004000,0.005000, 0.007000, 0.014000, 0.012000, 0.013000
0.007000, 0.008000, 0.006000, 0.004000,0.005000, 0.008000, 0.011000, 0.012000, 0.012000
0.009000, 0.009000, 0.007000, 0.006000,0.003000, 0.007000, 0.012000, 0.012000, 0.012000
0.008000, 0.009000, 0.005000, 0.005000,0.005000, 0.010000, 0.012000, 0.012000, 0.011000
0.007000, 0.009000, 0.005000, 0.005000,0.005000, 0.008000, 0.013000, 0.012000, 0.012000
0.008000, 0.010000, 0.005000, 0.004000,0.006000, 0.008000, 0.012000, 0.012000, 0.012000
0.009000, 0.009000, 0.007000, 0.004000,0.005000, 0.008000, 0.013000, 0.012000, 0.010000
0.008000, 0.010000, 0.005000, 0.005000,0.005000, 0.007000, 0.011000, 0.011000, 0.011000
0.009000, 0.010000, 0.007000, 0.004000,0.004000, 0.010000, 0.012000, 0.010000, 0.010000
0.008000, 0.008000, 0.007000, 0.004000,0.004000, 0.008000, 0.013000, 0.011000, 0.012000
0.009000, 0.009000, 0.006000, 0.005000,0.005000, 0.009000, 0.011000, 0.011000, 0.013000
0.008000, 0.010000, 0.007000, 0.006000,0.004000, 0.013000, 0.018000, 0.016000, 0.015000
0.010000, 0.010000, 0.006000, 0.004000,0.005000, 0.007000, 0.013000, 0.012000, 0.011000
0.010000, 0.008000, 0.007000, 0.004000,0.004000, 0.010000, 0.012000, 0.014000, 0.009000
0.010000, 0.010000, 0.006000, 0.004000,0.005000, 0.008000, 0.012000, 0.013000, 0.014000
0.008000, 0.038000, 0.007000, 0.008000,0.006000, 0.008000, 0.013000, 0.013000, 0.013000
0.010000, 0.008000, 0.007000, 0.005000,0.003000, 0.008000, 0.012000, 0.012000, 0.012000
0.011000, 0.008000, 0.007000, 0.003000,0.004000, 0.008000, 0.011000, 0.011000, 0.013000
0.011000, 0.009000, 0.005000, 0.003000,0.004000, 0.008000, 0.010000, 0.013000, 0.013000
0.008000, 0.009000, 0.006000, 0.005000,0.005000, 0.011000, 0.014000, 0.013000, 0.012000
0.008000, 0.009000, 0.007000, 0.004000,0.004000, 0.009000, 0.012000, 0.012000, 0.013000
0.008000, 0.010000, 0.006000, 0.005000,0.005000, 0.007000, 0.014000, 0.013000, 0.014000
0.007000, 0.009000, 0.005000, 0.005000,0.005000, 0.009000, 0.013000, 0.013000, 0.014000
0.009000, 0.009000, 0.005000, 0.005000,0.004000, 0.008000, 0.011000, 0.013000, 0.013000
0.008000, 0.009000, 0.006000, 0.005000,0.004000, 0.008000, 0.011000, 0.013000, 0.012000
0.008000, 0.008000, 0.006000, 0.005000,0.004000, 0.009000, 0.011000, 0.012000, 0.012000
0.009000, 0.008000, 0.006000, 0.005000,0.005000, 0.008000, 0.013000, 0.011000, 0.012000
0.009000, 0.008000, 0.007000, 0.004000,0.005000, 0.009000, 0.012000, 0.011000, 0.013000
0.009000, 0.009000, 0.008000, 0.004000,0.004000, 0.009000, 0.012000, 0.012000, 0.012000
0.011000, 0.009000, 0.006000, 0.005000,0.005000, 0.007000, 0.012000, 0.011000, 0.013000
0.007000, 0.008000, 0.006000, 0.003000,0.004000, 0.009000, 0.011000, 0.010000, 0.012000
0.010000, 0.008000, 0.006000, 0.005000,0.003000, 0.008000, 0.010000, 0.011000, 0.014000
0.007000, 0.010000, 0.006000, 0.005000,0.003000, 0.008000, 0.011000, 0.011000, 0.013000
0.008000, 0.010000, 0.004000, 0.006000,0.004000, 0.008000, 0.012000, 0.013000, 0.013000
0.010000, 0.009000, 0.006000, 0.005000,0.005000, 0.009000, 0.011000, 0.011000, 0.013000
0.009000, 0.008000, 0.006000, 0.004000,0.004000, 0.008000, 0.012000, 0.011000, 0.013000
0.009000, 0.010000, 0.006000, 0.004000,0.004000, 0.011000, 0.012000, 0.011000, 0.013000
0.008000, 0.009000, 0.006000, 0.004000,0.004000, 0.009000, 0.011000, 0.011000, 0.012000
0.007000, 0.009000, 0.005000, 0.004000,0.004000, 0.007000, 0.012000, 0.013000, 0.012000
0.008000, 0.010000, 0.006000, 0.004000,0.005000, 0.007000, 0.012000, 0.013000, 0.011000
0.011000, 0.007000, 0.006000, 0.005000,0.004000, 0.009000, 0.012000, 0.011000, 0.011000
0.008000, 0.009000, 0.008000, 0.004000,0.004000, 0.008000, 0.011000, 0.011000, 0.012000
0.009000, 0.009000, 0.010000, 0.004000,0.005000, 0.007000, 0.012000, 0.012000, 0.012000
0.008000, 0.008000, 0.006000, 0.004000,0.004000, 0.008000, 0.011000, 0.013000, 0.011000
0.009000, 0.008000, 0.006000, 0.004000,0.004000, 0.008000, 0.011000, 0.012000, 0.012000
0.009000, 0.009000, 0.007000, 0.004000,0.004000, 0.009000, 0.011000, 0.013000, 0.012000
0.009000, 0.008000, 0.007000, 0.005000,0.004000, 0.007000, 0.011000, 0.014000, 0.012000
0.008000, 0.009000, 0.006000, 0.006000,0.003000, 0.007000, 0.011000, 0.012000, 0.013000
0.008000, 0.009000, 0.005000, 0.005000,0.003000, 0.011000, 0.011000, 0.011000, 0.013000
0.008000, 0.010000, 0.006000, 0.005000,0.004000, 0.008000, 0.012000, 0.013000, 0.012000
0.008000, 0.011000, 0.006000, 0.004000,0.004000, 0.009000, 0.010000, 0.013000, 0.012000
0.008000, 0.008000, 0.006000, 0.004000,0.005000, 0.007000, 0.012000, 0.012000, 0.011000
0.011000, 0.008000, 0.006000, 0.004000,0.005000, 0.008000, 0.012000, 0.012000, 0.012000
0.008000, 0.009000, 0.006000, 0.005000,0.006000, 0.007000, 0.012000, 0.011000, 0.012000
0.008000, 0.008000, 0.006000, 0.005000,0.004000, 0.007000, 0.011000, 0.013000, 0.012000
0.009000, 0.008000, 0.006000, 0.005000,0.005000, 0.008000, 0.011000, 0.013000, 0.012000
0.008000, 0.011000, 0.006000, 0.004000,0.006000, 0.010000, 0.011000, 0.012000, 0.014000
0.011000, 0.009000, 0.005000, 0.006000,0.005000, 0.009000, 0.011000, 0.012000, 0.013000
0.008000, 0.010000, 0.006000, 0.006000,0.004000, 0.008000, 0.012000, 0.012000, 0.012000
0.008000, 0.008000, 0.005000, 0.006000,0.005000, 0.009000, 0.012000, 0.013000, 0.013000
0.009000, 0.008000, 0.007000, 0.005000,0.004000, 0.008000, 0.012000, 0.013000, 0.012000
